"feature"	"coef_AD"	"pval_AD"	"qval_AD"	"metadata"
"s__Achromobacter_SGB14223|t__SGB14223"	-0.265481295694363	0.652610930724951	0.818394569084229	"diagnosis"
"s__Acidaminococcus_intestini|t__SGB5736"	1.00410152724108	0.540117078607918	0.818394569084229	"diagnosis"
"s__Acidaminococcus_SGB5735|t__SGB5735"	0.674421208336136	0.51460615043982	0.818394569084229	"diagnosis"
"s__Acidaminococcus_timonensis|t__SGB5741"	0.602390332952938	0.509608567656411	0.818394569084229	"diagnosis"
"s__Acinetobacter_ursingii|t__SGB10372"	0.0551466652716262	0.734626068723828	0.818394569084229	"diagnosis"
"s__Actinomyces_graevenitzii|t__SGB17130_group"	0.398773630357295	0.625817731168382	0.818394569084229	"diagnosis"
"s__Actinomyces_urogenitalis|t__SGB15868"	0.620772507922671	0.523282416291936	0.818394569084229	"diagnosis"
"s__Adlercreutzia_equolifaciens|t__SGB14797"	-1.73507069298088	0.137127620019561	0.818394569084229	"diagnosis"
"s__Adlercreutzia_equolifaciens|t__SGB14798"	-1.00103858441833	0.348749935715841	0.818394569084229	"diagnosis"
"s__Agathobaculum_butyriciproducens|t__SGB14993"	-0.567242255796526	0.705936071234208	0.818394569084229	"diagnosis"
"s__Aggregatibacter_segnis|t__SGB9737_group"	0.361964572130182	0.656550738763656	0.818394569084229	"diagnosis"
"s__Akkermansia_muciniphila|t__SGB9226"	-0.827591079293686	0.648114787336198	0.818394569084229	"diagnosis"
"s__Akkermansia_muciniphila|t__SGB9228"	1.95432261049178	0.153344827688809	0.818394569084229	"diagnosis"
"s__Akkermansia_sp_KLE1798|t__SGB9224"	0.215638231440953	0.74746492995	0.818394569084229	"diagnosis"
"s__Alcaligenes_SGB14037|t__SGB14037"	1.05717395890557	0.361244766414279	0.818394569084229	"diagnosis"
"s__Alistipes_communis|t__SGB2290"	-1.36761266736536	0.445137703575389	0.818394569084229	"diagnosis"
"s__Alistipes_dispar|t__SGB2311"	-0.254589046605027	0.740476975868493	0.818394569084229	"diagnosis"
"s__Alistipes_finegoldii|t__SGB2301"	-2.5819157691366	0.197996034192643	0.818394569084229	"diagnosis"
"s__Alistipes_ihumii|t__SGB2328"	-0.506819180606696	0.709623637900147	0.818394569084229	"diagnosis"
"s__Alistipes_indistinctus|t__SGB2325"	-0.891012531360793	0.545674741408806	0.818394569084229	"diagnosis"
"s__Alistipes_onderdonkii|t__SGB2303"	-2.73108772899688	0.185810141323225	0.818394569084229	"diagnosis"
"s__Alistipes_provencensis|t__SGB2298"	0.0978306602459421	0.747187907039308	0.818394569084229	"diagnosis"
"s__Alistipes_putredinis|t__SGB2318"	-5.40489951944769	0.00824066545074757	0.818394569084229	"diagnosis"
"s__Alistipes_senegalensis|t__SGB2296"	0.93397422624515	0.4467406660832	0.818394569084229	"diagnosis"
"s__Alistipes_SGB2302|t__SGB2302"	-0.0305489152409479	0.753296363365143	0.818394569084229	"diagnosis"
"s__Alistipes_SGB2310|t__SGB2310"	0.753040632478607	0.4464903452708	0.818394569084229	"diagnosis"
"s__Alistipes_SGB2313|t__SGB2313"	-0.202591397488002	0.777461732604935	0.818808225507001	"diagnosis"
"s__Alistipes_SGB5086|t__SGB5086"	-0.140334532209845	0.721757307871363	0.818394569084229	"diagnosis"
"s__Alistipes_shahii|t__SGB2295"	-5.40596012462703	0.00497322211453928	0.818394569084229	"diagnosis"
"s__Alistipes_sp_AF17_16|t__SGB2326"	-1.5869460089816	0.275364232951146	0.818394569084229	"diagnosis"
"s__Alistipes_sp_D31t1_170403_E11|t__SGB2293"	0.482892936521281	0.578954050480566	0.818394569084229	"diagnosis"
"s__Alistipes_timonensis|t__SGB2299"	0.614775242256443	0.571002406826155	0.818394569084229	"diagnosis"
"s__Allisonella_histaminiformans|t__SGB5843"	2.45524658705864	0.0945848384417087	0.818394569084229	"diagnosis"
"s__Alloscardovia_omnicolens|t__SGB17300"	0.530107076038123	0.581976603862478	0.818394569084229	"diagnosis"
"s__Amedibacillus_dolichus|t__SGB4035"	0.586265234686314	0.537517175639772	0.818394569084229	"diagnosis"
"s__Amedibacterium_intestinale|t__SGB4042"	0.785614359906204	0.484753594721811	0.818394569084229	"diagnosis"
"s__Anaerobutyricum_hallii|t__SGB4532"	-2.64845623834198	0.105659844937945	0.818394569084229	"diagnosis"
"s__Anaerobutyricum_soehngenii|t__SGB4537"	-0.39883884001762	0.696432363486169	0.818394569084229	"diagnosis"
"s__Anaerococcus_SGB4342|t__SGB4342"	0.539602941825536	0.545780943556193	0.818394569084229	"diagnosis"
"s__Anaerococcus_SGB53821|t__SGB53821"	-2.30914575034268	0.0973095217911635	0.818394569084229	"diagnosis"
"s__Anaerofilum_sp_An201|t__SGB15276"	0.523302538599404	0.583730565963123	0.818394569084229	"diagnosis"
"s__Anaerofilum_sp_BX8|t__SGB79822"	0.232423784802377	0.682024605766503	0.818394569084229	"diagnosis"
"s__Anaerofustis_stercorihominis|t__SGB4116"	0.484110928423879	0.588391996362973	0.818394569084229	"diagnosis"
"s__Anaerofustis_stercorihominis|t__SGB49059"	-0.0470239176474647	0.737396420287375	0.818394569084229	"diagnosis"
"s__Anaeromassilibacillus_sp_An172|t__SGB4271"	-0.39451734403478	0.614981687625658	0.818394569084229	"diagnosis"
"s__Anaeromassilibacillus_sp_An250|t__SGB14894"	0.0134262936267544	0.848297584476385	0.860715481412911	"diagnosis"
"s__Anaerosacchariphilus_sp_NSJ_68|t__SGB4772"	-0.691507621359905	0.520375343847595	0.818394569084229	"diagnosis"
"s__Anaerostipes_caccae|t__SGB4529"	-0.339277468518809	0.648281621076128	0.818394569084229	"diagnosis"
"s__Anaerostipes_hadrus|t__SGB4540_group"	-1.77305961666356	0.258843999176121	0.818394569084229	"diagnosis"
"s__Anaerostipes_hadrus|t__SGB4547"	-2.38809030156252	0.146695019969506	0.818394569084229	"diagnosis"
"s__Anaerotignum_faecicola|t__SGB5190"	0.454181496452224	0.746428336216921	0.818394569084229	"diagnosis"
"s__Anaerotignum_lactatifermentans|t__SGB5193"	-0.690063137817968	0.575789153978894	0.818394569084229	"diagnosis"
"s__Anaerotruncus_colihominis|t__SGB14963"	0.27191806812752	0.754978332456789	0.818394569084229	"diagnosis"
"s__Anaerotruncus_massiliensis|t__SGB14965"	0.179201679760219	0.718022707374812	0.818394569084229	"diagnosis"
