"feature"	"coef_LD"	"pval_LD"	"qval_LD"	"metadata"
"s__Phocaeicola_vulgatus|t__SGB1814"	0.0851605132802078	0.87221545195698	0.99939636631053	"diagnosis"
"s__Bacteroides_uniformis|t__SGB1836"	0.0183913841669815	0.966237380136642	0.99939636631053	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15332"	-0.171357466844095	0.590138532972212	0.99939636631053	"diagnosis"
"s__Bacteroides_thetaiotaomicron|t__SGB1861"	0.180081493632187	0.479716931451637	0.99939636631053	"diagnosis"
"s__Roseburia_faecis|t__SGB4925"	0.17694573857225	0.506454492200225	0.99939636631053	"diagnosis"
"s__Bacteroides_caccae|t__SGB1877"	-0.184924023684305	0.513402098303608	0.99939636631053	"diagnosis"
"s__Enterocloster_clostridioformis|t__SGB4760"	0.0734159241585447	0.570542115491232	0.99939636631053	"diagnosis"
"s__Dialister_invisus|t__SGB5825_group"	0.0129746958966489	0.948291132183038	0.99939636631053	"diagnosis"
"s__Clostridium_fessum|t__SGB4705"	0.0484039424885992	0.733583630267437	0.99939636631053	"diagnosis"
"s__Clostridium_sp_AF36_4|t__SGB4644"	-0.115579014948763	0.256579924333731	0.99939636631053	"diagnosis"
"s__Bacteroides_fragilis|t__SGB1855"	0.226050090819903	0.414394504610473	0.99939636631053	"diagnosis"
"s__Ruminococcus_bicirculans|t__SGB4262"	-0.3090295761911	0.0543395617871698	0.99939636631053	"diagnosis"
"s__Fusicatenibacter_saccharivorans|t__SGB4874"	0.0284180276878201	0.788677196968919	0.99939636631053	"diagnosis"
"s__Ruminococcus_torques|t__SGB4608"	-0.134313589367884	0.297701655396423	0.99939636631053	"diagnosis"
"s__Flavonifractor_plautii|t__SGB15132"	0.0840057027747473	0.630522386435379	0.99939636631053	"diagnosis"
"s__GGB9480_SGB14874|t__SGB14874"	-0.0241653852831827	0.692887944950885	0.99939636631053	"diagnosis"
"s__Clostridium_sp_AF27_2AA|t__SGB4712"	-0.0177844511711941	0.623577235993457	0.99939636631053	"diagnosis"
"s__Enterocloster_bolteae|t__SGB4758"	0.202603132223484	0.353316613271431	0.99939636631053	"diagnosis"
"s__Oscillospiraceae_bacterium|t__SGB4184"	-0.017919179868519	0.526893398322151	0.99939636631053	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB4269"	-0.136004497137727	0.0121389925486421	0.99939636631053	"diagnosis"
"s__Clostridium_sp_AT4|t__SGB4753"	0.146247659865638	0.0858204538442892	0.99939636631053	"diagnosis"
"s__Clostridia_bacterium|t__SGB5191"	0.177293029470742	0.132400400503035	0.99939636631053	"diagnosis"
"s__GGB5980_SGB8599|t__SGB8599"	0.00129773047185056	0.934189030973947	0.99939636631053	"diagnosis"
"s__Blautia_massiliensis|t__SGB4826"	-0.0169366059837894	0.667693379184714	0.99939636631053	"diagnosis"
